target_count,seed_index,stage,cycles,actual_iter,result_index,trial_count,L_BBHT,semantic_equal
1,78,K4/H4-E1,129421,90,507,31,430,1
1,78,K4/H4-E4,59146,90,507,31,430,1
1,78,K3/H3-E4,60146,118,507,31,430,1
1,78,K3/H3-E4-M1,52219,118,507,31,430,1
1,78,K3/H3-E4-M2,46396,118,507,31,430,1
1,79,Normal-E1,174753,138,507,24,138,1
1,79,K4/H4-E1,80448,51,507,24,138,1
1,79,K4/H4-E4,41032,51,507,24,138,1
1,79,K3/H3-E4,37954,54,507,24,138,1
1,79,K3/H3-E4-M1,31810,54,507,24,138,1
1,79,K3/H3-E4-M2,26346,54,507,24,138,1
1,80,Normal-E1,428963,381,507,27,381,1
1,80,K4/H4-E1,148520,116,507,27,381,1
1,80,K4/H4-E4,59047,116,507,27,381,1
1,80,K3/H3-E4,56053,116,507,27,381,1
1,80,K3/H3-E4-M1,49244,116,507,27,381,1
1,80,K3/H3-E4-M2,43936,116,507,27,381,1
1,81,Normal-E1,345801,300,507,28,300,1
1,81,K4/H4-E1,109608,76,507,28,300,1
1,81,K4/H4-E4,51564,76,507,28,300,1
1,81,K3/H3-E4,50363,95,507,28,300,1
1,81,K3/H3-E4-M1,43267,95,507,28,300,1
1,81,K3/H3-E4-M2,38771,95,507,28,300,1
1,82,Normal-E1,383072,336,507,27,336,1
1,82,K4/H4-E1,144752,112,507,27,336,1
1,82,K4/H4-E4,58848,112,507,27,336,1
1,82,K3/H3-E4,56115,114,507,27,336,1
1,82,K3/H3-E4-M1,49287,114,507,27,336,1
1,82,K3/H3-E4-M2,43458,114,507,27,336,1
1,83,Normal-E1,140860,110,507,20,110,1
1,83,K4/H4-E1,55686,31,507,20,110,1
1,83,K4/H4-E4,31493,31,507,20,110,1
1,83,K3/H3-E4,29319,33,507,20,110,1
1,83,K3/H3-E4-M1,24199,33,507,20,110,1
1,83,K3/H3-E4-M2,19381,33,507,20,110,1
1,84,Normal-E1,321133,277,507,26,277,1
1,84,K4/H4-E1,117354,86,507,26,277,1
1,84,K4/H4-E4,51989,86,507,26,277,1
1,84,K3/H3-E4,49539,91,507,26,277,1
1,84,K3/H3-E4-M1,42883,91,507,26,277,1
1,84,K3/H3-E4-M2,36921,91,507,26,277,1
1,85,Normal-E1,179160,145,507,22,145,1
1,85,K4/H4-E1,64236,38,507,22,145,1
1,85,K4/H4-E4,35802,38,507,22,145,1
1,85,K3/H3-E4,33233,43,507,22,145,1
