target_count,seed_index,semantic_equal,result_index,trial_count,L_BBHT,Normal-E1,K4/H4-E1,K4/H4-E4,K3/H3-E4,K3/H3-E4-M1,K3/H3-E4-M2
64,32,1,4720,2,1,3814,7787,6634,5525,5013,4457
64,33,1,160,4,1,6315,9268,8115,7006,5982,5087
64,34,1,6247,10,13,27137,17748,14291,13182,10622,7966
64,35,1,7400,13,18,36099,24149,17620,16509,13181,10032
64,36,1,5531,14,23,43131,26542,19245,18136,14552,10753
64,37,1,8225,16,28,50146,25856,19710,19101,15005,11718
64,38,1,10931,10,17,31647,19160,14935,13824,11264,8360
64,39,1,2888,11,13,28393,17457,14768,13659,10843,8157
64,40,1,11272,10,9,22601,17341,13884,12773,10213,7960
64,41,1,4512,6,5,12855,11693,9772,8663,7127,6048
64,42,1,507,10,8,21587,18394,14169,13058,10498,8214
64,43,1,11272,10,12,25557,18234,14009,12900,10340,8242
64,44,1,7400,11,8,22557,16787,14098,12989,10173,8045
64,45,1,7786,11,14,28174,17241,13784,12675,9859,8258
64,46,1,6247,9,10,22656,16872,13415,12304,10000,7622
64,47,1,5200,15,30,50833,29924,20323,19165,15325,12085
64,48,1,15288,13,13,31640,22789,17796,16687,13359,9621
64,49,1,10234,11,11,26912,20110,15885,14774,11958,8621
64,50,1,1038,16,32,53477,29731,20130,18964,14868,12086
64,51,1,14405,8,10,20662,14352,11663,10554,8506,6933
64,52,1,16090,16,43,66928,35477,23572,21850,17754,13027
64,53,1,15469,13,21,39272,23190,17429,16320,12992,9750
64,54,1,14405,9,13,25664,16781,13324,12213,9909,7562
64,55,1,11647,2,1,4014,7987,6834,5725,5213,4471
64,56,1,7786,7,4,13584,12946,11025,9916,8124,6364
64,57,1,3876,12,15,31030,19589,15364,14253,11181,8961
64,58,1,8225,5,4,11015,11398,9477,8368,7088,5729
64,59,1,8225,11,14,29817,18883,15426,14317,11501,8423
64,60,1,3903,2,1,3573,7544,6391,5282,4770,4462
64,61,1,13012,10,13,27584,17157,14468,13359,10799,7740
64,62,1,15288,5,4,11223,11604,9683,8574,7294,5780
64,63,1,14567,10,11,24390,18098,13873,12762,10202,8197
64,64,1,1801,10,10,23595,17302,13845,12736,10176,7985
64,65,1,26,15,28,48521,23159,18166,17324,13484,10430
64,66,1,9302,13,26,43531,23800,18039,15682,12465,10245
64,67,1,682,11,15,29825,18895,14670,13559,10743,8522
64,68,1,1825,12,24,40985,21285,16292,15181,12109,9207
64,69,1,8225,15,23,43691,22459,18234,17125,13285,9921
64,70,1,5531,15,40,60813,30923,21322,18553,14872,12057
64,71,1,2852,16,27,49541,30975,22142,20194,16098,12250
64,72,1,13048,13,20,37321,20809,16584,14872,11597,9284
64,73,1,701,17,35,59195,29719,21654,20543,16191,11983
64,74,1,507,16,48,70314,31788,22246,19540,15444,12391
64,75,1,10812,7,5,14871,12167,11014,9905,8113,6105
64,76,1,1801,15,36,56632,29020,20187,18500,14660,11792
64,77,1,701,8,8,18338,14096,11407,10298,8250,6987
64,78,1,5281,6,5,13240,12078,10157,9048,7512,6061
64,79,1,8089,16,43,65168,34500,22595,20359,16306,13283
64,80,1,8799,8,4,14432,13285,11364,10255,8207,6789
64,81,1,7786,7,6,15152,12450,10529,9420,7628,6457
64,82,1,10234,11,15,30680,19748,15523,14412,11596,8631
64,83,1,5270,14,23,43199,26126,19597,18205,14621,10793
64,84,1,14494,3,1,5185,8647,7494,6385,5617,4814
64,85,1,5200,10,13,26446,16024,13335,12226,9666,7723
64,86,1,586,12,19,35169,20946,15953,14532,11650,9460
64,87,1,10593,13,23,40795,23680,17151,16040,12712,10090
64,88,1,7786,13,25,43086,21842,16849,15738,12410,9546
64,89,1,10931,10,13,27625,19269,15044,13935,11375,8347
64,90,1,16090,13,12,30061,22246,17253,16137,12809,9629
64,91,1,13048,14,18,37927,25517,19342,17833,14249,10590
64,92,1,5341,3,1,5285,8749,7596,6487,5719,4792
