target_count,seed_index,result_index,trial_count,L_BBHT,orca_sw_us,m2_hw_us,m2_vs_orca_speedup
16,69,5281,17,36,8296803,99,83806.09090909091
16,70,2852,4,3,924725,22,42032.954545454544
16,71,2852,16,27,6639933,95,69894.03157894737
16,72,491,12,15,3886335,60,64772.25
16,73,1721,17,35,8211147,92,89251.59782608696
16,74,10593,10,15,3735495,54,69175.83333333333
16,75,15288,14,31,7126292,72,98976.27777777778
16,76,2852,10,13,3325933,51,65214.37254901961
16,77,8685,15,31,7084126,81,87458.34567901235
16,78,15288,17,41,9333085,91,102561.37362637362
16,79,491,16,43,9450507,105,90004.82857142857
16,80,491,12,16,4119634,92,44778.63043478261
16,81,8685,9,12,3104385,47,66050.74468085106
16,82,8685,12,18,4609388,62,74344.96774193548
16,83,2852,10,12,3263362,55,59333.854545454546
16,84,7786,18,66,13921561,132,105466.37121212122
16,85,2852,18,44,9887505,116,85237.11206896552
16,86,7786,15,36,8107444,86,94272.6046511628
16,87,7786,16,46,10018094,97,103279.31958762887
16,88,10593,16,48,10375916,105,98818.24761904762
16,89,5281,14,27,6456481,77,83850.4025974026
16,90,5281,18,54,11796141,135,87378.82222222222
16,91,10931,17,53,11474226,114,100651.1052631579
16,92,507,20,86,17717125,143,123895.97902097902
16,93,5281,15,45,9748109,88,110773.96590909091
16,94,1721,17,40,8964364,104,86195.80769230769
16,95,4724,10,12,3274825,56,58479.017857142855
16,96,4724,17,42,9333912,127,73495.37007874016
16,97,1801,16,33,7622272,108,70576.5925925926
16,98,1801,13,20,4927075,70,70386.78571428571
16,99,15288,21,101,20543736,165,124507.4909090909
64,0,2852,6,4,1384371,34,40716.794117647056
64,1,8685,13,14,3856069,66,58425.28787878788
64,2,8089,7,3,1264351,37,34171.64864864865
64,3,4876,13,19,4853852,65,74674.64615384616
64,4,4720,8,4,1594030,40,39850.75
64,5,4876,18,40,9123904,102,89450.03921568628
64,6,7786,12,24,5586500,64,87289.0625
64,7,1801,12,25,5671497,68,83404.36764705883
64,8,3304,11,13,3576390,59,60616.779661016946
64,9,12001,1,0,120595,10,12059.5
64,10,8685,5,4,1233856,29,42546.75862068965
64,11,682,12,19,4655839,65,71628.2923076923
64,12,26,14,20,5084949,84,60535.107142857145
64,13,9302,11,17,4351429,56,77704.08928571429
64,14,14567,12,19,4788650,64,74822.65625
