m,seed_idx,mode,result_index,trial,l_bbht,iter,cycles,cfgerr
256,34,dram,10842,7,5,0,10344,0
256,35,dram,9972,6,6,0,9244,0
256,36,dram,16297,6,3,0,8279,0
256,37,dram,1456,5,4,0,7887,0
256,38,dram,11990,6,5,0,9661,0
256,39,dram,10839,4,2,0,6325,0
256,40,dram,586,5,4,0,6856,0
256,41,dram,7400,5,4,0,8090,0
256,42,dram,507,10,8,0,13947,0
256,43,dram,160,6,3,0,8998,0
256,44,dram,7400,11,8,0,15447,0
256,45,dram,8996,6,4,0,8773,0
256,46,dram,15586,8,6,0,10569,0
256,47,dram,56,9,6,0,11691,0
256,48,dram,10265,11,7,0,14133,0
256,49,dram,5281,9,6,0,12175,0
256,50,dram,2160,13,15,0,16420,0
256,51,dram,6300,5,4,0,7003,0
256,52,dram,13448,3,1,0,4578,0
256,53,dram,8799,9,7,0,13437,0
256,54,dram,7615,4,2,0,4701,0
256,55,dram,12785,4,2,0,6731,0
256,56,dram,7780,7,4,0,8970,0
256,57,dram,9459,7,2,0,6705,0
256,58,dram,8225,5,4,0,7467,0
256,59,dram,4389,6,5,0,9649,0
256,60,dram,11343,9,10,0,13152,0
256,61,dram,12329,11,17,0,17673,0
256,62,dram,5666,10,13,0,14890,0
256,63,dram,14388,10,11,0,14170,0
256,64,dram,3410,8,4,0,9655,0
256,65,dram,10195,6,3,0,7916,0
256,66,dram,1133,6,2,0,7681,0
256,67,dram,5270,10,10,0,13908,0
256,68,dram,8996,8,6,0,10681,0
256,69,dram,15374,7,3,0,9042,0
256,70,dram,2789,4,3,0,4497,0
256,71,dram,15233,8,6,0,11885,0
256,72,dram,1859,7,4,0,8793,0
256,73,dram,9230,7,6,0,10177,0
256,74,dram,2442,6,2,0,8054,0
256,75,dram,14410,2,1,0,3492,0
256,76,dram,13239,9,10,0,13582,0
256,77,dram,9230,7,5,0,9523,0
256,78,dram,3237,2,1,0,3058,0
256,79,dram,11111,2,1,0,3245,0
256,80,dram,8089,10,10,0,14193,0
256,81,dram,9492,6,4,0,7679,0
256,82,dram,14992,3,1,0,4568,0
256,83,dram,15859,3,2,0,4386,0
256,84,dram,10082,6,4,0,6232,0
256,85,dram,8851,9,10,0,12866,0
256,86,dram,10812,11,13,0,17162,0
256,87,dram,6247,12,15,0,16781,0
256,88,dram,1038,6,3,0,6367,0
256,89,dram,10532,10,13,0,13149,0
256,90,dram,15943,13,12,0,18793,0
256,91,dram,9960,4,1,0,5184,0
256,92,dram,8081,4,1,0,5598,0
256,93,dram,12684,10,14,0,11683,0
256,94,dram,2888,7,3,0,8220,0
256,95,dram,2852,9,7,0,13018,0
256,96,dram,1456,4,2,0,5824,0
256,97,dram,13286,6,3,0,6627,0
256,98,dram,10964,2,1,0,3229,0
256,99,dram,2852,5,2,0,7084,0
