target,seed,seed_j_equal,seed_meas_equal,trial_count_equal,l_bbht_equal,success_equal,result_valid_equal,result_index_equal,timeout_equal,unexpected_error_equal,terminal_limit_equal,status_exact_equal,observed_logical_semantics_equal,normal_trial_count,h4_trial_count,normal_l_bbht,h4_l_bbht,normal_result_index,h4_result_index
16,29,1,1,1,1,1,1,1,1,1,1,1,1,14,14,30,30,7786,7786
16,30,1,1,1,1,1,1,1,1,1,1,1,1,15,15,26,26,3947,3947
16,31,1,1,1,1,1,1,1,1,1,1,1,1,14,14,35,35,2852,2852
16,32,1,1,1,1,1,1,1,1,1,1,1,1,21,21,70,70,5281,5281
16,33,1,1,1,1,1,1,1,1,1,1,1,1,13,13,23,23,491,491
16,34,1,1,1,1,1,1,1,1,1,1,1,1,11,11,17,17,8685,8685
16,35,1,1,1,1,1,1,1,1,1,1,1,1,15,15,30,30,10593,10593
16,36,1,1,1,1,1,1,1,1,1,1,1,1,7,7,5,5,10931,10931
16,37,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,491,491
16,38,1,1,1,1,1,1,1,1,1,1,1,1,15,15,40,40,15288,15288
16,39,1,1,1,1,1,1,1,1,1,1,1,1,18,18,71,71,15288,15288
16,40,1,1,1,1,1,1,1,1,1,1,1,1,18,18,48,48,507,507
16,41,1,1,1,1,1,1,1,1,1,1,1,1,14,14,29,29,491,491
16,42,1,1,1,1,1,1,1,1,1,1,1,1,17,17,57,57,4512,4512
16,43,1,1,1,1,1,1,1,1,1,1,1,1,8,8,6,6,10839,10839
16,44,1,1,1,1,1,1,1,1,1,1,1,1,20,20,93,93,2852,2852
16,45,1,1,1,1,1,1,1,1,1,1,1,1,12,12,21,21,7786,7786
16,46,1,1,1,1,1,1,1,1,1,1,1,1,18,18,68,68,5281,5281
16,47,1,1,1,1,1,1,1,1,1,1,1,1,15,15,30,30,1801,1801
16,48,1,1,1,1,1,1,1,1,1,1,1,1,13,13,13,13,15288,15288
16,49,1,1,1,1,1,1,1,1,1,1,1,1,16,16,44,44,15288,15288
64,0,1,1,1,1,1,1,1,1,1,1,1,1,6,6,4,4,2852,2852
64,1,1,1,1,1,1,1,1,1,1,1,1,1,13,13,14,14,8685,8685
64,2,1,1,1,1,1,1,1,1,1,1,1,1,7,7,3,3,8089,8089
64,3,1,1,1,1,1,1,1,1,1,1,1,1,13,13,19,19,4876,4876
64,4,1,1,1,1,1,1,1,1,1,1,1,1,8,8,4,4,4720,4720
64,5,1,1,1,1,1,1,1,1,1,1,1,1,18,18,40,40,4876,4876
