m,seed_idx,mode,result_index,trial,l_bbht,iter,cycles,policy_cycles,policy_stall,policy_actions,cold,spec,mismatch
4,63,k4,2852,18,54,11,9335,2624,102,329,1,18,0
4,64,normal,507,19,64,64,25841,0,0,0,0,0,0
4,64,k4,507,19,64,16,11378,3282,350,489,1,19,0
4,65,normal,8685,23,131,131,45343,0,0,0,0,0,0
4,65,k4,8685,23,131,64,25113,4568,108,723,1,23,0
4,66,normal,4724,25,172,172,57338,0,0,0,0,0,0
4,66,k4,4724,25,172,65,26681,5237,404,867,1,25,0
4,67,normal,8685,16,30,30,15356,0,0,0,0,0,0
4,67,k4,8685,16,30,9,8253,2882,184,425,1,16,0
4,68,normal,2852,21,81,81,31300,0,0,0,0,0,0
4,68,k4,2852,21,81,31,15824,3687,250,537,1,21,0
4,69,normal,8685,22,106,106,38347,0,0,0,0,0,0
4,69,k4,8685,22,106,27,15076,4469,259,740,1,22,0
4,70,normal,2852,23,119,119,42300,0,0,0,0,0,0
4,70,k4,2852,23,119,42,19849,4566,535,696,1,23,0
4,71,normal,2852,22,124,124,43131,0,0,0,0,0,0
4,71,k4,2852,22,124,40,18572,4120,294,593,1,22,0
4,72,normal,507,12,15,15,9580,0,0,0,0,0,0
4,72,k4,507,12,15,4,5399,1198,97,119,1,12,0
4,73,normal,2852,20,66,66,26719,0,0,0,0,0,0
4,73,k4,2852,20,66,18,14253,6974,2601,562,1,20,0
4,74,normal,507,21,145,145,48162,0,0,0,0,0,0
4,74,k4,507,21,145,33,16198,4299,182,664,1,21,0
4,75,normal,2852,9,9,9,6587,0,0,0,0,0,0
4,75,k4,2852,9,9,4,4368,922,94,70,1,9,0
4,76,normal,2852,16,47,47,19926,0,0,0,0,0,0
4,76,k4,2852,16,47,13,9166,3634,99,630,1,16,0
4,77,normal,507,18,67,67,26086,0,0,0,0,0,0
4,77,k4,507,18,67,22,12159,2939,103,419,1,18,0
4,78,normal,4724,25,177,177,58613,0,0,0,0,0,0
4,78,k4,4724,25,177,69,27697,5453,529,856,1,25,0
4,79,normal,2852,22,90,90,34155,0,0,0,0,0,0
4,79,k4,2852,22,90,31,16294,5132,236,912,1,22,0
4,80,normal,8685,24,175,175,57521,0,0,0,0,0,0
4,80,k4,8685,24,175,48,21433,5264,271,893,1,24,0
4,81,normal,8685,9,12,12,7410,0,0,0,0,0,0
4,81,k4,8685,9,12,3,4131,916,94,66,1,9,0
4,82,normal,8685,12,18,18,10393,0,0,0,0,0,0
4,82,k4,8685,12,18,5,5682,1704,95,216,1,12,0
4,83,normal,8685,14,23,23,12589,0,0,0,0,0,0
4,83,k4,8685,14,23,9,7489,2613,217,408,1,14,0
4,84,normal,4724,21,132,132,44836,0,0,0,0,0,0
4,84,k4,4724,21,132,28,15187,4616,246,779,1,21,0
4,85,normal,4724,20,91,91,33525,0,0,0,0,0,0
4,85,k4,4724,20,91,29,15115,4468,232,696,1,20,0
4,86,normal,8685,21,91,91,33916,0,0,0,0,0,0
4,86,k4,8685,21,91,20,13256,4172,492,671,1,21,0
4,87,normal,4724,19,89,89,32532,0,0,0,0,0,0
4,87,k4,4724,19,89,20,15138,6583,3119,520,1,19,0
4,88,normal,8685,16,48,48,20190,0,0,0,0,0,0
4,88,k4,8685,16,48,16,10007,2794,148,381,1,16,0
4,89,normal,507,16,41,41,18377,0,0,0,0,0,0
4,89,k4,507,16,41,8,7879,2437,100,303,1,16,0
4,90,normal,8685,18,54,54,22776,0,0,0,0,0,0
4,90,k4,8685,18,54,24,12963,2825,238,370,1,18,0
4,91,normal,507,17,53,53,21994,0,0,0,0,0,0
4,91,k4,507,17,53,18,10963,3156,222,487,1,17,0
4,92,normal,2852,11,13,13,8570,0,0,0,0,0,0
4,92,k4,2852,11,13,6,5575,1571,96,183,1,11,0
4,93,normal,8685,20,96,96,34769,0,0,0,0,0,0
4,93,k4,8685,20,96,25,13996,3074,260,365,1,20,0
4,94,normal,4724,19,71,71,27654,0,0,0,0,0,0
4,94,k4,4724,19,71,27,13945,4108,169,694,1,19,0
4,95,normal,8685,17,47,47,20503,0,0,0,0,0,0
4,95,k4,8685,17,47,18,11459,2982,617,397,1,17,0
4,96,normal,8685,19,74,74,28447,0,0,0,0,0,0
4,96,k4,8685,19,74,18,11602,3262,219,483,1,19,0
4,97,normal,2852,22,124,124,43127,0,0,0,0,0,0
4,97,k4,2852,22,124,28,15686,4447,457,763,1,22,0
4,98,normal,8685,20,102,102,36398,0,0,0,0,0,0
4,98,k4,8685,20,102,20,12485,3665,164,516,1,20,0
4,99,normal,8685,16,42,42,18620,0,0,0,0,0,0
4,99,k4,8685,16,42,14,9450,2182,105,264,1,16,0
16,0,normal,4512,11,15,15,9054,0,0,0,0,0,0
16,0,k4,4512,11,15,3,4731,1082,95,86,1,11,0
16,1,normal,507,15,23,23,13144,0,0,0,0,0,0
16,1,k4,507,15,23,9,10900,5661,3200,325,1,15,0
16,2,normal,10593,17,56,56,22748,0,0,0,0,0,0
16,2,k4,10593,17,56,16,10273,2331,103,274,1,17,0
16,3,normal,5281,18,56,56,23284,0,0,0,0,0,0
16,3,k4,5281,18,56,21,12267,3456,357,526,1,18,0
