target_count,seed_index,seed_j,seed_meas,mode,success,result_valid,result_index,trial_count,l_bbht,actual_iter,cycle_count,timer_hi,timer_lo,status,timeout,unexpected_error,terminal_limit
1,92,0xa0882219,0x18f75d24,1,1,1,507,20,86,25,13725,0,142,0x0000080c,0,0,0
1,93,0xc435e6f2,0xf75a52bc,0,1,1,507,23,192,192,61624,0,621,0x0000080c,0,0,0
1,93,0xc435e6f2,0xf75a52bc,1,1,1,507,23,192,51,22029,0,224,0x0000080c,0,0,0
1,94,0x011b63f0,0x0aa34346,0,1,1,507,18,62,62,24842,0,253,0x0000080c,0,0,0
1,94,0x011b63f0,0x0aa34346,1,1,1,507,18,62,27,13642,0,141,0x0000080c,0,0,0
1,95,0x1b456e77,0xee460f94,0,1,1,507,20,75,75,29361,0,299,0x0000080c,0,0,0
1,95,0x1b456e77,0xee460f94,1,1,1,507,20,75,25,14386,0,149,0x0000080c,0,0,0
1,96,0x10088608,0xef418331,0,1,1,507,24,183,183,59694,0,602,0x0000080c,0,0,0
1,96,0x10088608,0xef418331,1,1,1,507,24,183,68,27191,0,277,0x0000080c,0,0,0
1,97,0x6fcfc352,0xf8fa9f4c,0,1,1,507,21,102,102,36836,0,373,0x0000080c,0,0,0
1,97,0x6fcfc352,0xf8fa9f4c,1,1,1,507,21,102,28,18616,0,191,0x0000080c,0,0,0
1,98,0xfb6077af,0x713595a9,0,1,1,507,20,102,102,36364,0,368,0x0000080c,0,0,0
1,98,0xfb6077af,0x713595a9,1,1,1,507,20,102,20,12484,0,130,0x0000080c,0,0,0
1,99,0xc6ebb72e,0x08fdf109,0,1,1,507,27,263,263,82300,0,828,0x0000088c,0,0,0
1,99,0xc6ebb72e,0x08fdf109,1,1,1,507,27,263,138,46497,0,470,0x0000088c,0,0,0
4,0,0x7b1dcdaf,0x24370df2,0,1,1,8685,21,119,119,41310,0,418,0x0000080c,0,0,0
4,0,0x7b1dcdaf,0x24370df2,1,1,1,8685,21,119,38,17656,0,182,0x0000080c,0,0,0
4,1,0x3a85a4dc,0xa3b9aa35,0,1,1,8685,23,132,132,45827,0,463,0x0000080c,0,0,0
4,1,0x3a85a4dc,0xa3b9aa35,1,1,1,8685,23,132,43,19752,0,202,0x0000080c,0,0,0
4,2,0x6162a8b2,0x871c276f,0,1,1,2852,19,89,89,32387,0,329,0x0000080c,0,0,0
4,2,0x6162a8b2,0x871c276f,1,1,1,2852,19,89,24,13182,0,136,0x0000080c,0,0,0
4,3,0xc3adc34e,0xf5b8f22b,0,1,1,2852,20,101,101,36150,0,367,0x0000080c,0,0,0
4,3,0xc3adc34e,0xf5b8f22b,1,1,1,2852,20,101,29,15096,0,155,0x0000080c,0,0,0
4,4,0x2bb073ff,0x3f8396e3,0,1,1,4724,16,47,47,19949,0,204,0x0000080c,0,0,0
4,4,0x2bb073ff,0x3f8396e3,1,1,1,4724,16,47,11,8698,0,92,0x0000080c,0,0,0
4,5,0xda585ab3,0xa7197ad7,0,1,1,2852,20,72,72,28557,0,291,0x0000080c,0,0,0
4,5,0xda585ab3,0xa7197ad7,1,1,1,2852,20,72,18,12006,0,125,0x0000080c,0,0,0
4,6,0x0ed109c0,0x5701ce52,0,1,1,507,9,14,14,7905,0,84,0x0000080c,0,0,0
4,6,0x0ed109c0,0x5701ce52,1,1,1,507,9,14,4,4364,0,48,0x0000080c,0,0,0
4,7,0x102ecf73,0x53c7612b,0,1,1,507,21,112,112,39495,0,400,0x0000080c,0,0,0
4,7,0x102ecf73,0x53c7612b,1,1,1,507,21,112,36,17274,0,177,0x0000080c,0,0,0
4,8,0xcf29b6a1,0x35231a84,0,1,1,2852,15,40,40,17674,0,182,0x0000080c,0,0,0
4,8,0xcf29b6a1,0x35231a84,1,1,1,2852,15,40,8,7645,0,80,0x0000080c,0,0,0
4,9,0xc49cbb42,0xd0a3bbb8,0,1,1,2852,23,94,94,35752,0,362,0x0000080c,0,0,0
4,9,0xc49cbb42,0xd0a3bbb8,1,1,1,2852,23,94,40,21476,0,219,0x0000080c,0,0,0
4,10,0x4cc51d23,0xee0e3ab4,0,1,1,2852,19,65,65,26001,0,264,0x0000080c,0,0,0
4,10,0x4cc51d23,0xee0e3ab4,1,1,1,2852,19,65,20,12200,0,127,0x0000080c,0,0,0
4,11,0xf9e8aa7a,0x3208c31a,0,1,1,4724,15,41,41,17833,0,184,0x0000080c,0,0,0
4,11,0xf9e8aa7a,0x3208c31a,1,1,1,4724,15,41,10,8198,0,87,0x0000080c,0,0,0
4,12,0xdda8b051,0xc8105c9d,0,1,1,507,18,42,42,19524,0,200,0x0000080c,0,0,0
4,12,0xdda8b051,0xc8105c9d,1,1,1,507,18,42,12,9770,0,103,0x0000080c,0,0,0
4,13,0xabfb11bf,0xf5dec75e,0,1,1,2852,22,128,128,44341,0,447,0x0000080c,0,0,0
4,13,0xabfb11bf,0xf5dec75e,1,1,1,2852,22,128,44,19798,0,203,0x0000080c,0,0,0
4,14,0x20639811,0x6b6a7c47,0,1,1,4724,17,59,59,23583,0,240,0x0000080c,0,0,0
4,14,0x20639811,0x6b6a7c47,1,1,1,4724,17,59,14,9964,0,104,0x0000080c,0,0,0
4,15,0xac72acd2,0xca84bc6c,0,1,1,8685,21,85,85,32324,0,328,0x0000080c,0,0,0
4,15,0xac72acd2,0xca84bc6c,1,1,1,8685,21,85,39,18424,0,188,0x0000080c,0,0,0
4,16,0x49a2da79,0xe1376725,0,1,1,2852,21,116,116,40549,0,410,0x0000080c,0,0,0
4,16,0x49a2da79,0xe1376725,1,1,1,2852,21,116,21,13063,0,135,0x0000080c,0,0,0
4,17,0x63a4e9d7,0x6166dba4,0,1,1,507,24,121,121,43302,0,438,0x0000080c,0,0,0
4,17,0x63a4e9d7,0x6166dba4,1,1,1,507,24,121,43,20419,0,209,0x0000080c,0,0,0
4,18,0x8983f102,0x43fb6183,0,1,1,8685,22,116,116,41008,0,414,0x0000080c,0,0,0
4,18,0x8983f102,0x43fb6183,1,1,1,8685,22,116,28,15329,0,159,0x0000080c,0,0,0
4,19,0xb671aa78,0xc97ad8a2,0,1,1,507,21,82,82,31454,0,319,0x0000080c,0,0,0
4,19,0xb671aa78,0xc97ad8a2,1,1,1,507,21,82,33,16110,0,166,0x0000080c,0,0,0
4,20,0xdaeb566a,0x989e5b3d,0,1,1,507,22,112,112,40021,0,404,0x0000080c,0,0,0
4,20,0xdaeb566a,0x989e5b3d,1,1,1,507,22,112,38,18018,0,185,0x0000080c,0,0,0
4,21,0xf6181c00,0xa345ac4b,0,1,1,2852,9,4,4,5293,0,57,0x0000080c,0,0,0
4,21,0xf6181c00,0xa345ac4b,1,1,1,2852,9,4,4,4401,0,49,0x0000080c,0,0,0
