target_count,seed_j,backend,attempt,m_bound,requested_j,result_index,success,target_probability,execution_seconds
1,6,QISKIT_AER_STATEVECTOR,7,3,2,3222,False,0.0015251339755106847,0.02892272500321269
1,6,QISKIT_AER_STATEVECTOR,8,4,1,1581,False,0.0005492270029208162,0.01872030203230679
1,6,QISKIT_AER_STATEVECTOR,9,5,0,12174,False,6.103515625000003e-05,0.0020035180496051908
1,6,QISKIT_AER_STATEVECTOR,10,6,5,2607,False,0.007367240660447187,0.0646246790420264
1,6,QISKIT_AER_STATEVECTOR,11,7,1,3047,False,0.0005492270029208162,0.016011704923585057
1,6,QISKIT_AER_STATEVECTOR,12,8,5,1109,False,0.007367240660447187,0.06969648809172213
1,6,QISKIT_AER_STATEVECTOR,13,9,5,12304,False,0.007367240660447187,0.0509862540056929
1,6,QISKIT_AER_STATEVECTOR,14,11,8,6458,False,0.017536045123506327,0.10426027805078775
1,6,QISKIT_AER_STATEVECTOR,15,13,12,11823,False,0.03766512580579618,0.12966129300184548
1,6,QISKIT_AER_STATEVECTOR,16,16,4,5330,False,0.004935806069861492,0.04559622996021062
1,6,QISKIT_AER_STATEVECTOR,17,19,8,10241,False,0.017536045123506327,0.09446540998760611
1,6,QISKIT_AER_STATEVECTOR,18,23,3,13086,False,0.0029878030980352737,0.05449641996528953
1,6,QISKIT_AER_STATEVECTOR,19,27,18,8718,False,0.08125724497359568,0.2556095980107784
1,6,QISKIT_AER_STATEVECTOR,20,32,17,5839,False,0.07292456937083056,0.19742349302396178
1,6,QISKIT_AER_STATEVECTOR,21,39,2,1387,False,0.0015251339755106847,0.025141694932244718
1,6,QISKIT_AER_STATEVECTOR,22,47,30,0,True,0.21043478727618575,0.4009850309230387
1,7,NUMPY_FLOAT64,1,1,0,14767,False,6.103515625e-05,0.00011806201655417681
1,7,NUMPY_FLOAT64,2,2,0,10734,False,6.103515625e-05,0.0001031969441100955
1,7,NUMPY_FLOAT64,3,2,1,4935,False,0.0005492270029208157,0.0002810601145029068
1,7,NUMPY_FLOAT64,4,2,1,896,False,0.0005492270029208157,0.00021183094941079617
1,7,NUMPY_FLOAT64,5,3,2,15393,False,0.0015251339755106843,0.00031807797495275736
1,7,NUMPY_FLOAT64,6,3,2,15320,False,0.0015251339755106843,0.0002974630333483219
1,7,NUMPY_FLOAT64,7,3,2,7370,False,0.0015251339755106843,0.00030447705648839474
1,7,NUMPY_FLOAT64,8,4,0,10352,False,6.103515625e-05,8.933607023209333e-05
1,7,NUMPY_FLOAT64,9,5,2,881,False,0.0015251339755106843,0.0003059839364141226
1,7,NUMPY_FLOAT64,10,6,4,4643,False,0.004935806069861494,0.000509698991663754
1,7,NUMPY_FLOAT64,11,7,2,6947,False,0.0015251339755106843,0.0003007070627063513
1,7,NUMPY_FLOAT64,12,8,3,271,False,0.002987803098035274,0.0004226469900459051
1,7,NUMPY_FLOAT64,13,9,1,1350,False,0.0005492270029208157,0.00015171896666288376
1,7,NUMPY_FLOAT64,14,11,10,10968,False,0.02667640741818577,0.0010785970371216536
1,7,NUMPY_FLOAT64,15,13,3,7556,False,0.002987803098035274,0.00041360093746334314
1,7,NUMPY_FLOAT64,16,16,6,11741,False,0.010279732566874802,0.0006226459518074989
1,7,NUMPY_FLOAT64,17,19,16,12509,False,0.06500893416261029,0.0016977590275928378
1,7,NUMPY_FLOAT64,18,23,18,6540,False,0.08125724497359635,0.0015139880124479532
1,7,NUMPY_FLOAT64,19,27,25,16008,False,0.15053037798122515,0.0015722319949418306
1,7,NUMPY_FLOAT64,20,32,10,12810,False,0.02667640741818577,0.0007039679912850261
1,7,NUMPY_FLOAT64,21,39,37,0,True,0.30579319654865766,0.0022814420517534018
1,7,QISKIT_AER_STATEVECTOR,1,1,0,14767,False,6.103515625000003e-05,0.002157794893719256
1,7,QISKIT_AER_STATEVECTOR,2,2,0,10734,False,6.103515625000003e-05,0.0017310719704255462
1,7,QISKIT_AER_STATEVECTOR,3,2,1,4935,False,0.0005492270029208162,0.016769743990153074
1,7,QISKIT_AER_STATEVECTOR,4,2,1,896,False,0.0005492270029208162,0.013942221063189209
1,7,QISKIT_AER_STATEVECTOR,5,3,2,15393,False,0.0015251339755106847,0.027410184033215046
1,7,QISKIT_AER_STATEVECTOR,6,3,2,15320,False,0.0015251339755106847,0.027053141966462135
